mouse_id,sex,order,grain_meals_per_day,pr_meals_per_day,nr_meals_per_day,grain_snacks_per_day,pr_snacks_per_day,nr_snacks_per_day,grain_mega_meals_per_day,pr_mega_meals_per_day,nr_mega_meals_per_day,grain_pellets_per_day,pr_pellets_per_day,nr_pellets_per_day,all_pellets_per_day,all_meals_per_day,all_snacks_per_day,all_mega_meals_per_day
FEDXA01,M,2.0,"[43, 25, 23]","[35, 28, 31, 24, 24, 31, 14]","[9, 18, 18, 15, 13, 9, 6]","[30, 18, 25]","[32, 44, 52, 62, 28, 25, 13]","[13, 14, 14, 19, 18, 12, 13]","[25, 22, 18]","[6, 7, 8, 9, 19, 19, 28]","[27, 24, 23, 22, 25, 22, 25]","[340, 271, 224]","[161, 155, 176, 184, 215, 231, 240]","[246, 234, 222, 211, 241, 223, 219]","[340, 271, 224, 161, 155, 176, 184, 215, 231, 240, 246, 234, 222, 211, 241, 223, 219]","[43, 25, 23, 35, 28, 31, 24, 24, 31, 14, 9, 18, 18, 15, 13, 9, 6]","[30, 18, 25, 32, 44, 52, 62, 28, 25, 13, 13, 14, 14, 19, 18, 12, 13]","[25, 22, 18, 6, 7, 8, 9, 19, 19, 28, 27, 24, 23, 22, 25, 22, 25]"
FEDXA02,M,2.0,"[41, 39, 22]","[36, 39, 54, 47, 45, 37, 34]","[13, 17, 32, 27, 23, 15, 12]","[29, 20, 9]","[10, 24, 32, 32, 22, 16, 17]","[13, 16, 16, 13, 16, 12, 12]","[25, 11, 18]","[8, 4, 6, 9, 9, 17, 16]","[26, 16, 12, 15, 16, 20, 20]","[304, 214, 194]","[154, 153, 204, 211, 203, 226, 214]","[225, 171, 195, 172, 182, 175, 181]","[304, 214, 194, 154, 153, 204, 211, 203, 226, 214, 225, 171, 195, 172, 182, 175, 181]","[41, 39, 22, 36, 39, 54, 47, 45, 37, 34, 13, 17, 32, 27, 23, 15, 12]","[29, 20, 9, 10, 24, 32, 32, 22, 16, 17, 13, 16, 16, 13, 16, 12, 12]","[25, 11, 18, 8, 4, 6, 9, 9, 17, 16, 26, 16, 12, 15, 16, 20, 20]"
FEDXA03,M,2.0,"[51, 32, 29]","[38, 32, 43, 47, 50, 49, 46]","[19, 14, 17, 14, 14, 19, 14]","[38, 13, 15]","[18, 42, 43, 29, 25, 26, 27]","[7, 10, 15, 12, 12, 7, 11]","[11, 19, 17]","[5, 4, 3, 14, 19, 20, 24]","[37, 39, 30, 31, 30, 23, 24]","[244, 243, 206]","[147, 149, 171, 247, 293, 280, 318]","[352, 351, 279, 288, 251, 222, 228]","[244, 243, 206, 147, 149, 171, 247, 293, 280, 318, 352, 351, 279, 288, 251, 222, 228]","[51, 32, 29, 38, 32, 43, 47, 50, 49, 46, 19, 14, 17, 14, 14, 19, 14]","[38, 13, 15, 18, 42, 43, 29, 25, 26, 27, 7, 10, 15, 12, 12, 7, 11]","[11, 19, 17, 5, 4, 3, 14, 19, 20, 24, 37, 39, 30, 31, 30, 23, 24]"
FEDXA04,M,2.0,"[56, 43, 26]","[29, 33, 37, 44, 37, 37, 30]","[14, 14, 13, 5, 10, 23, 7]","[57, 22, 17]","[27, 39, 35, 27, 36, 18, 18]","[15, 17, 10, 9, 10, 9, 6]","[13, 15, 16]","[8, 4, 5, 5, 16, 22, 29]","[33, 26, 28, 25, 29, 21, 27]","[282, 267, 201]","[164, 144, 168, 176, 252, 272, 305]","[293, 267, 240, 210, 239, 239, 215]","[282, 267, 201, 164, 144, 168, 176, 252, 272, 305, 293, 267, 240, 210, 239, 239, 215]","[56, 43, 26, 29, 33, 37, 44, 37, 37, 30, 14, 14, 13, 5, 10, 23, 7]","[57, 22, 17, 27, 39, 35, 27, 36, 18, 18, 15, 17, 10, 9, 10, 9, 6]","[13, 15, 16, 8, 4, 5, 5, 16, 22, 29, 33, 26, 28, 25, 29, 21, 27]"
FEDXA05,M,2.0,"[21, 8, 7]","[35, 47, 52, 53, 47, 60, 60]","[38, 27, 22, 30, 31, 33, 26]","[13, 6, 8]","[14, 25, 26, 30, 37, 37, 26]","[13, 25, 10, 13, 13, 5, 8]","[19, 23, 23]","[6, 1, 6, 6, 12, 9, 15]","[18, 26, 28, 24, 20, 18, 18]","[227, 236, 227]","[154, 167, 204, 220, 253, 249, 279]","[267, 259, 254, 267, 238, 239, 219]","[227, 236, 227, 154, 167, 204, 220, 253, 249, 279, 267, 259, 254, 267, 238, 239, 219]","[21, 8, 7, 35, 47, 52, 53, 47, 60, 60, 38, 27, 22, 30, 31, 33, 26]","[13, 6, 8, 14, 25, 26, 30, 37, 37, 26, 13, 25, 10, 13, 13, 5, 8]","[19, 23, 23, 6, 1, 6, 6, 12, 9, 15, 18, 26, 28, 24, 20, 18, 18]"
FEDXA06,M,2.0,"[44, 28, 2]","[54, 49, 67, 50, 57, 45, 64]","[36, 38, 33, 33, 25, 28, 33]","[23, 19, 1]","[27, 34, 39, 51, 66, 45, 35]","[23, 16, 10, 15, 13, 11, 17]","[10, 29, 0]","[7, 4, 0, 5, 1, 8, 7]","[15, 12, 14, 15, 18, 11, 13]","[220, 337, 7]","[215, 180, 199, 202, 224, 215, 240]","[228, 211, 184, 204, 193, 177, 187]","[220, 337, 7, 215, 180, 199, 202, 224, 215, 240, 228, 211, 184, 204, 193, 177, 187]","[44, 28, 2, 54, 49, 67, 50, 57, 45, 64, 36, 38, 33, 33, 25, 28, 33]","[23, 19, 1, 27, 34, 39, 51, 66, 45, 35, 23, 16, 10, 15, 13, 11, 17]","[10, 29, 0, 7, 4, 0, 5, 1, 8, 7, 15, 12, 14, 15, 18, 11, 13]"
FEDXA07,M,1.0,"[24, 14, 10]","[29, 41, 33, 31, 26, 27, 25]","[13, 19, 26, 16, 23, 23, 21]","[29, 11, 4]","[4, 5, 17, 10, 11, 7, 6]","[7, 5, 8, 4, 7, 9, 3]","[26, 29, 20]","[8, 7, 10, 12, 17, 17, 19]","[20, 19, 14, 16, 18, 19, 20]","[283, 269, 193]","[142, 167, 168, 188, 198, 201, 196]","[177, 189, 181, 165, 182, 205, 189]","[283, 269, 193, 142, 167, 168, 188, 198, 201, 196, 177, 189, 181, 165, 182, 205, 189]","[24, 14, 10, 29, 41, 33, 31, 26, 27, 25, 13, 19, 26, 16, 23, 23, 21]","[29, 11, 4, 4, 5, 17, 10, 11, 7, 6, 7, 5, 8, 4, 7, 9, 3]","[26, 29, 20, 8, 7, 10, 12, 17, 17, 19, 20, 19, 14, 16, 18, 19, 20]"
FEDXA08,M,1.0,"[26, 16, 19]","[13, 21, 25, 9, 21, 15, 12]","[34, 36, 36, 25, 16, 11, 16]","[16, 4, 18]","[10, 9, 11, 16, 10, 14, 11]","[13, 18, 20, 6, 8, 10, 10]","[27, 24, 22]","[12, 12, 10, 16, 15, 11, 16]","[8, 13, 14, 13, 14, 17, 15]","[305, 233, 223]","[133, 149, 151, 150, 174, 145, 165]","[168, 208, 208, 170, 162, 182, 182]","[305, 233, 223, 133, 149, 151, 150, 174, 145, 165, 168, 208, 208, 170, 162, 182, 182]","[26, 16, 19, 13, 21, 25, 9, 21, 15, 12, 34, 36, 36, 25, 16, 11, 16]","[16, 4, 18, 10, 9, 11, 16, 10, 14, 11, 13, 18, 20, 6, 8, 10, 10]","[27, 24, 22, 12, 12, 10, 16, 15, 11, 16, 8, 13, 14, 13, 14, 17, 15]"
FEDXA09,M,1.0,"[59, 36, 18]","[35, 46, 49, 44, 46, 37, 30]","[25, 25, 24, 25, 25, 13, 29]","[36, 10, 13]","[6, 17, 19, 24, 20, 18, 11]","[9, 5, 3, 8, 12, 5, 18]","[18, 15, 19]","[8, 7, 8, 9, 14, 20, 11]","[13, 15, 16, 17, 19, 18, 18]","[302, 192, 191]","[151, 188, 201, 211, 242, 255, 176]","[163, 167, 178, 192, 197, 193, 211]","[302, 192, 191, 151, 188, 201, 211, 242, 255, 176, 163, 167, 178, 192, 197, 193, 211]","[59, 36, 18, 35, 46, 49, 44, 46, 37, 30, 25, 25, 24, 25, 25, 13, 29]","[36, 10, 13, 6, 17, 19, 24, 20, 18, 11, 9, 5, 3, 8, 12, 5, 18]","[18, 15, 19, 8, 7, 8, 9, 14, 20, 11, 13, 15, 16, 17, 19, 18, 18]"
FEDXA10,M,1.0,"[29, 14, 17]","[28, 27, 26, 25, 22, 26, 29]","[24, 26, 36, 22, 17, 31, 17]","[15, 7, 5]","[9, 6, 10, 17, 16, 11, 9]","[23, 2, 9, 12, 6, 7, 8]","[17, 29, 22]","[8, 11, 16, 15, 16, 14, 17]","[13, 19, 17, 20, 23, 16, 20]","[199, 267, 214]","[153, 160, 193, 187, 192, 189, 200]","[171, 200, 214, 205, 208, 207, 187]","[199, 267, 214, 153, 160, 193, 187, 192, 189, 200, 171, 200, 214, 205, 208, 207, 187]","[29, 14, 17, 28, 27, 26, 25, 22, 26, 29, 24, 26, 36, 22, 17, 31, 17]","[15, 7, 5, 9, 6, 10, 17, 16, 11, 9, 23, 2, 9, 12, 6, 7, 8]","[17, 29, 22, 8, 11, 16, 15, 16, 14, 17, 13, 19, 17, 20, 23, 16, 20]"
FEDXA11,M,1.0,"[42, 27, 12]","[23, 11, 38, 45, 39, 51, 43]","[20, 26, 31, 33, 33, 23, 24]","[33, 17, 8]","[26, 25, 35, 37, 46, 38, 37]","[8, 19, 18, 29, 29, 29, 28]","[21, 19, 22]","[9, 4, 7, 13, 14, 12, 11]","[19, 12, 14, 12, 13, 15, 14]","[307, 249, 226]","[149, 84, 211, 234, 225, 251, 231]","[204, 164, 197, 208, 195, 183, 188]","[307, 249, 226, 149, 84, 211, 234, 225, 251, 231, 204, 164, 197, 208, 195, 183, 188]","[42, 27, 12, 23, 11, 38, 45, 39, 51, 43, 20, 26, 31, 33, 33, 23, 24]","[33, 17, 8, 26, 25, 35, 37, 46, 38, 37, 8, 19, 18, 29, 29, 29, 28]","[21, 19, 22, 9, 4, 7, 13, 14, 12, 11, 19, 12, 14, 12, 13, 15, 14]"
FEDXA12,M,1.0,"[35, 22, 26]","[33, 49, 53, 49, 26, 23, 35]","[26, 27, 33, 23, 31, 35, 35]","[17, 24, 13]","[13, 21, 31, 27, 21, 15, 14]","[19, 22, 21, 17, 19, 22, 23]","[16, 19, 20]","[9, 13, 11, 15, 20, 20, 16]","[13, 17, 12, 18, 15, 13, 15]","[237, 201, 224]","[169, 239, 257, 261, 244, 217, 233]","[197, 198, 191, 188, 192, 215, 217]","[237, 201, 224, 169, 239, 257, 261, 244, 217, 233, 197, 198, 191, 188, 192, 215, 217]","[35, 22, 26, 33, 49, 53, 49, 26, 23, 35, 26, 27, 33, 23, 31, 35, 35]","[17, 24, 13, 13, 21, 31, 27, 21, 15, 14, 19, 22, 21, 17, 19, 22, 23]","[16, 19, 20, 9, 13, 11, 15, 20, 20, 16, 13, 17, 12, 18, 15, 13, 15]"
FEDXB01,F,2.0,"[29, 22, 14]","[20, 34, 63, 61, 65, 64, 54]","[56, 36, 40, 39, 29, 58, 39]","[12, 14, 5]","[16, 23, 32, 35, 32, 38, 24]","[13, 18, 7, 10, 14, 16, 11]","[14, 26, 27]","[4, 6, 2, 7, 8, 9, 4]","[12, 15, 7, 7, 8, 6, 17]","[206, 282, 251]","[98, 154, 219, 232, 244, 255, 185]","[245, 214, 168, 158, 148, 215, 221]","[206, 282, 251, 98, 154, 219, 232, 244, 255, 185, 245, 214, 168, 158, 148, 215, 221]","[29, 22, 14, 20, 34, 63, 61, 65, 64, 54, 56, 36, 40, 39, 29, 58, 39]","[12, 14, 5, 16, 23, 32, 35, 32, 38, 24, 13, 18, 7, 10, 14, 16, 11]","[14, 26, 27, 4, 6, 2, 7, 8, 9, 4, 12, 15, 7, 7, 8, 6, 17]"
FEDXB02,F,2.0,"[50, 39, 25]","[25, 45, 68, 34, 42, 46, 25]","[34, 32, 25, 31, 18, 40, 25]","[25, 30, 6]","[36, 59, 68, 22, 27, 21, 16]","[12, 7, 9, 1, 3, 8, 5]","[13, 15, 16]","[13, 10, 6, 5, 8, 9, 13]","[10, 14, 12, 10, 10, 12, 19]","[232, 233, 185]","[213, 232, 272, 150, 185, 192, 167]","[184, 199, 153, 148, 118, 192, 198]","[232, 233, 185, 213, 232, 272, 150, 185, 192, 167, 184, 199, 153, 148, 118, 192, 198]","[50, 39, 25, 25, 45, 68, 34, 42, 46, 25, 34, 32, 25, 31, 18, 40, 25]","[25, 30, 6, 36, 59, 68, 22, 27, 21, 16, 12, 7, 9, 1, 3, 8, 5]","[13, 15, 16, 13, 10, 6, 5, 8, 9, 13, 10, 14, 12, 10, 10, 12, 19]"
FEDXB03,F,2.0,"[20, 37, 23]","[31, 41, 50, 55, 62, 61, 48]","[52, 57, 53, 46, 46, 34, 28]","[17, 30, 4]","[21, 29, 43, 48, 32, 28, 29]","[22, 19, 19, 19, 24, 11, 6]","[2, 15, 20]","[5, 2, 8, 4, 6, 13, 8]","[12, 8, 10, 6, 4, 10, 13]","[86, 235, 198]","[131, 145, 220, 220, 254, 284, 207]","[240, 239, 232, 188, 182, 168, 173]","[86, 235, 198, 131, 145, 220, 220, 254, 284, 207, 240, 239, 232, 188, 182, 168, 173]","[20, 37, 23, 31, 41, 50, 55, 62, 61, 48, 52, 57, 53, 46, 46, 34, 28]","[17, 30, 4, 21, 29, 43, 48, 32, 28, 29, 22, 19, 19, 19, 24, 11, 6]","[2, 15, 20, 5, 2, 8, 4, 6, 13, 8, 12, 8, 10, 6, 4, 10, 13]"
FEDXB04,F,2.0,"[29, 15, 29]","[22, 38, 49, 46, 32, 38, 44]","[33, 22, 19, 15, 8, 17, 15]","[15, 5, 14]","[35, 49, 48, 44, 42, 31, 17]","[12, 12, 11, 5, 6, 6, 8]","[11, 20, 15]","[0, 3, 6, 6, 9, 12, 12]","[21, 21, 22, 19, 19, 21, 19]","[157, 182, 194]","[97, 156, 200, 197, 191, 206, 216]","[233, 245, 206, 190, 164, 199, 178]","[157, 182, 194, 97, 156, 200, 197, 191, 206, 216, 233, 245, 206, 190, 164, 199, 178]","[29, 15, 29, 22, 38, 49, 46, 32, 38, 44, 33, 22, 19, 15, 8, 17, 15]","[15, 5, 14, 35, 49, 48, 44, 42, 31, 17, 12, 12, 11, 5, 6, 6, 8]","[11, 20, 15, 0, 3, 6, 6, 9, 12, 12, 21, 21, 22, 19, 19, 21, 19]"
FEDXB05,F,2.0,"[33, 30, 24]","[38, 40, 43, 45, 39, 38, 30]","[24, 32, 41, 20, 25, 46, 37]","[25, 23, 8]","[29, 52, 28, 35, 26, 18, 23]","[5, 9, 7, 9, 14, 28, 23]","[25, 14, 15]","[4, 2, 9, 7, 11, 20, 19]","[28, 20, 14, 21, 13, 7, 14]","[301, 210, 176]","[155, 158, 203, 203, 203, 250, 222]","[237, 218, 210, 187, 158, 208, 223]","[301, 210, 176, 155, 158, 203, 203, 203, 250, 222, 237, 218, 210, 187, 158, 208, 223]","[33, 30, 24, 38, 40, 43, 45, 39, 38, 30, 24, 32, 41, 20, 25, 46, 37]","[25, 23, 8, 29, 52, 28, 35, 26, 18, 23, 5, 9, 7, 9, 14, 28, 23]","[25, 14, 15, 4, 2, 9, 7, 11, 20, 19, 28, 20, 14, 21, 13, 7, 14]"
FEDXB06,F,2.0,"[27, 16, 15]","[41, 34, 54, 52, 57, 44, 29]","[21, 53, 34, 38, 30, 35, 13]","[13, 4, 2]","[21, 15, 25, 35, 24, 13, 21]","[17, 22, 17, 11, 11, 16, 8]","[35, 21, 26]","[1, 4, 7, 4, 5, 12, 10]","[8, 21, 20, 17, 21, 30, 39]","[335, 198, 226]","[134, 138, 212, 208, 216, 203, 168]","[138, 313, 237, 239, 245, 335, 305]","[335, 198, 226, 134, 138, 212, 208, 216, 203, 168, 138, 313, 237, 239, 245, 335, 305]","[27, 16, 15, 41, 34, 54, 52, 57, 44, 29, 21, 53, 34, 38, 30, 35, 13]","[13, 4, 2, 21, 15, 25, 35, 24, 13, 21, 17, 22, 17, 11, 11, 16, 8]","[35, 21, 26, 1, 4, 7, 4, 5, 12, 10, 8, 21, 20, 17, 21, 30, 39]"
FEDXB07,F,1.0,"[35, 21, 17]","[36, 32, 48, 44, 52, 56, 56]","[20, 23, 24, 30, 29, 31, 20]","[33, 6, 11]","[9, 21, 18, 17, 21, 29, 15]","[8, 2, 16, 12, 6, 19, 11]","[23, 20, 29]","[7, 18, 18, 19, 17, 18, 20]","[20, 20, 19, 15, 24, 13, 18]","[300, 206, 257]","[147, 219, 265, 255, 288, 285, 291]","[207, 190, 216, 196, 224, 210, 190]","[300, 206, 257, 147, 219, 265, 255, 288, 285, 291, 207, 190, 216, 196, 224, 210, 190]","[35, 21, 17, 36, 32, 48, 44, 52, 56, 56, 20, 23, 24, 30, 29, 31, 20]","[33, 6, 11, 9, 21, 18, 17, 21, 29, 15, 8, 2, 16, 12, 6, 19, 11]","[23, 20, 29, 7, 18, 18, 19, 17, 18, 20, 20, 20, 19, 15, 24, 13, 18]"
FEDXB08,F,1.0,"[21, 6, 2]","[29, 26, 15, 9, 21, 25, 29]","[16, 12, 21, 14, 7, 17, 6]","[21, 6, 2]","[15, 11, 3, 6, 4, 9, 8]","[1, 3, 2, 5, 7, 7, 2]","[12, 27, 20]","[7, 17, 22, 21, 18, 20, 15]","[17, 19, 17, 18, 21, 22, 22]","[161, 250, 175]","[149, 210, 176, 175, 182, 219, 188]","[178, 183, 192, 173, 172, 211, 181]","[161, 250, 175, 149, 210, 176, 175, 182, 219, 188, 178, 183, 192, 173, 172, 211, 181]","[21, 6, 2, 29, 26, 15, 9, 21, 25, 29, 16, 12, 21, 14, 7, 17, 6]","[21, 6, 2, 15, 11, 3, 6, 4, 9, 8, 1, 3, 2, 5, 7, 7, 2]","[12, 27, 20, 7, 17, 22, 21, 18, 20, 15, 17, 19, 17, 18, 21, 22, 22]"
FEDXB10,F,1.0,"[42, 33, 38]","[53, 76, 67, 55, 42, 56, 58]","[37, 40, 61, 48, 50, 49, 43]","[29, 24, 17]","[24, 25, 31, 34, 29, 33, 46]","[13, 30, 31, 38, 32, 41, 19]","[16, 15, 13]","[8, 8, 5, 3, 4, 7, 9]","[7, 6, 6, 6, 9, 11, 14]","[254, 211, 217]","[212, 270, 241, 192, 172, 221, 242]","[164, 177, 226, 212, 235, 235, 225]","[254, 211, 217, 212, 270, 241, 192, 172, 221, 242, 164, 177, 226, 212, 235, 235, 225]","[42, 33, 38, 53, 76, 67, 55, 42, 56, 58, 37, 40, 61, 48, 50, 49, 43]","[29, 24, 17, 24, 25, 31, 34, 29, 33, 46, 13, 30, 31, 38, 32, 41, 19]","[16, 15, 13, 8, 8, 5, 3, 4, 7, 9, 7, 6, 6, 6, 9, 11, 14]"
FEDXB11,F,1.0,"[25, 43, 36]","[34, 37, 35, 37, 34, 39, 39]","[39, 42, 47, 43, 40, 37, 43]","[8, 9, 8]","[41, 65, 36, 40, 38, 40, 51]","[33, 53, 51, 50, 36, 39, 31]","[26, 13, 21]","[4, 7, 2, 2, 2, 7, 6]","[5, 3, 2, 4, 9, 9, 5]","[272, 229, 245]","[143, 187, 129, 137, 140, 177, 183]","[160, 165, 178, 185, 201, 190, 171]","[272, 229, 245, 143, 187, 129, 137, 140, 177, 183, 160, 165, 178, 185, 201, 190, 171]","[25, 43, 36, 34, 37, 35, 37, 34, 39, 39, 39, 42, 47, 43, 40, 37, 43]","[8, 9, 8, 41, 65, 36, 40, 38, 40, 51, 33, 53, 51, 50, 36, 39, 31]","[26, 13, 21, 4, 7, 2, 2, 2, 7, 6, 5, 3, 2, 4, 9, 9, 5]"
FEDXB12,F,1.0,"[21, 11, 5]","[16, 17, 13, 10, 22, 13, 16]","[16, 16, 17, 10, 11, 10, 4]","[13, 2, 1]","[7, 3, 5, 2, 7, 3, 6]","[2, 2, 5, 2, 6, 0, 0]","[21, 24, 22]","[14, 18, 16, 19, 12, 28, 22]","[16, 20, 19, 21, 26, 22, 20]","[225, 233, 219]","[153, 194, 177, 176, 184, 224, 201]","[171, 193, 182, 184, 220, 189, 174]","[225, 233, 219, 153, 194, 177, 176, 184, 224, 201, 171, 193, 182, 184, 220, 189, 174]","[21, 11, 5, 16, 17, 13, 10, 22, 13, 16, 16, 16, 17, 10, 11, 10, 4]","[13, 2, 1, 7, 3, 5, 2, 7, 3, 6, 2, 2, 5, 2, 6, 0, 0]","[21, 24, 22, 14, 18, 16, 19, 12, 28, 22, 16, 20, 19, 21, 26, 22, 20]"
