mouse_id,sex,order,day,hour,pr_hourly_pellet_intake,nr_hourly_pellet_intake
FEDXA01,M,2,0,0,0,0
FEDXA01,M,2,0,1,0,0
FEDXA01,M,2,0,2,9,3
FEDXA01,M,2,0,3,13,20
FEDXA01,M,2,0,4,0,12
FEDXA01,M,2,0,5,5,19
FEDXA01,M,2,0,6,7,8
FEDXA01,M,2,0,7,4,2
FEDXA01,M,2,0,8,9,7
FEDXA01,M,2,0,9,0,0
FEDXA01,M,2,0,10,5,14
FEDXA01,M,2,0,11,6,6
FEDXA01,M,2,0,12,4,8
FEDXA01,M,2,0,13,7,13
FEDXA01,M,2,0,14,13,17
FEDXA01,M,2,0,15,8,21
FEDXA01,M,2,0,16,13,26
FEDXA01,M,2,0,17,17,18
FEDXA01,M,2,0,18,9,12
FEDXA01,M,2,0,19,1,11
FEDXA01,M,2,0,20,5,3
FEDXA01,M,2,0,21,5,9
FEDXA01,M,2,0,22,11,7
FEDXA01,M,2,0,23,10,10
FEDXA01,M,2,1,0,7,8
FEDXA01,M,2,1,1,0,9
FEDXA01,M,2,1,2,9,5
FEDXA01,M,2,1,3,0,7
FEDXA01,M,2,1,4,9,14
FEDXA01,M,2,1,5,0,8
FEDXA01,M,2,1,6,8,0
FEDXA01,M,2,1,7,5,2
FEDXA01,M,2,1,8,0,8
FEDXA01,M,2,1,9,7,0
FEDXA01,M,2,1,10,0,5
FEDXA01,M,2,1,11,5,11
FEDXA01,M,2,1,12,9,7
FEDXA01,M,2,1,13,9,17
FEDXA01,M,2,1,14,9,17
FEDXA01,M,2,1,15,12,18
FEDXA01,M,2,1,16,14,26
FEDXA01,M,2,1,17,7,28
FEDXA01,M,2,1,18,13,14
FEDXA01,M,2,1,19,0,7
FEDXA01,M,2,1,20,12,17
FEDXA01,M,2,1,21,8,0
FEDXA01,M,2,1,22,5,0
FEDXA01,M,2,1,23,7,6
FEDXA01,M,2,2,0,6,11
FEDXA01,M,2,2,1,13,12
FEDXA01,M,2,2,2,0,4
FEDXA01,M,2,2,3,6,11
FEDXA01,M,2,2,4,8,4
FEDXA01,M,2,2,5,0,2
FEDXA01,M,2,2,6,6,7
FEDXA01,M,2,2,7,0,6
FEDXA01,M,2,2,8,6,0
FEDXA01,M,2,2,9,0,8
FEDXA01,M,2,2,10,3,0
FEDXA01,M,2,2,11,3,5
FEDXA01,M,2,2,12,9,6
FEDXA01,M,2,2,13,11,15
FEDXA01,M,2,2,14,12,21
FEDXA01,M,2,2,15,17,19
FEDXA01,M,2,2,16,10,18
FEDXA01,M,2,2,17,10,24
FEDXA01,M,2,2,18,13,25
FEDXA01,M,2,2,19,8,0
FEDXA01,M,2,2,20,11,8
FEDXA01,M,2,2,21,4,0
FEDXA01,M,2,2,22,7,0
FEDXA01,M,2,2,23,13,16
FEDXA01,M,2,3,0,4,1
FEDXA01,M,2,3,1,10,12
FEDXA01,M,2,3,2,2,6
FEDXA01,M,2,3,3,10,9
FEDXA01,M,2,3,4,0,10
FEDXA01,M,2,3,5,10,2
FEDXA01,M,2,3,6,1,10
FEDXA01,M,2,3,7,4,6
FEDXA01,M,2,3,8,0,0
FEDXA01,M,2,3,9,5,0
FEDXA01,M,2,3,10,6,4
FEDXA01,M,2,3,11,4,6
FEDXA01,M,2,3,12,8,5
FEDXA01,M,2,3,13,7,14
FEDXA01,M,2,3,14,15,16
FEDXA01,M,2,3,15,16,17
FEDXA01,M,2,3,16,16,21
FEDXA01,M,2,3,17,8,26
FEDXA01,M,2,3,18,13,21
FEDXA01,M,2,3,19,0,3
FEDXA01,M,2,3,20,15,8
FEDXA01,M,2,3,21,3,7
FEDXA01,M,2,3,22,19,7
FEDXA01,M,2,3,23,8,0
FEDXA01,M,2,4,0,9,12
FEDXA01,M,2,4,1,10,10
FEDXA01,M,2,4,2,6,3
FEDXA01,M,2,4,3,4,13
FEDXA01,M,2,4,4,4,13
FEDXA01,M,2,4,5,11,9
FEDXA01,M,2,4,6,0,1
FEDXA01,M,2,4,7,9,0
FEDXA01,M,2,4,8,6,3
FEDXA01,M,2,4,9,0,0
FEDXA01,M,2,4,10,3,8
FEDXA01,M,2,4,11,8,8
FEDXA01,M,2,4,12,7,6
FEDXA01,M,2,4,13,10,14
FEDXA01,M,2,4,14,19,14
FEDXA01,M,2,4,15,17,27
FEDXA01,M,2,4,16,26,26
FEDXA01,M,2,4,17,9,23
FEDXA01,M,2,4,18,18,13
FEDXA01,M,2,4,19,5,0
FEDXA01,M,2,4,20,7,14
FEDXA01,M,2,4,21,1,8
FEDXA01,M,2,4,22,12,8
FEDXA01,M,2,4,23,14,8
FEDXA01,M,2,5,0,0,6
FEDXA01,M,2,5,1,11,7
FEDXA01,M,2,5,2,10,2
FEDXA01,M,2,5,3,0,4
FEDXA01,M,2,5,4,5,10
FEDXA01,M,2,5,5,12,0
FEDXA01,M,2,5,6,0,13
FEDXA01,M,2,5,7,0,0
FEDXA01,M,2,5,8,7,0
FEDXA01,M,2,5,9,2,7
FEDXA01,M,2,5,10,5,0
FEDXA01,M,2,5,11,4,13
FEDXA01,M,2,5,12,10,7
FEDXA01,M,2,5,13,15,14
FEDXA01,M,2,5,14,13,17
FEDXA01,M,2,5,15,24,28
FEDXA01,M,2,5,16,27,27
FEDXA01,M,2,5,17,25,15
FEDXA01,M,2,5,18,13,7
FEDXA01,M,2,5,19,19,10
FEDXA01,M,2,5,20,0,13
FEDXA01,M,2,5,21,10,7
FEDXA01,M,2,5,22,8,0
FEDXA01,M,2,5,23,11,16
FEDXA01,M,2,6,0,6,8
FEDXA01,M,2,6,1,12,11
FEDXA01,M,2,6,2,8,1
FEDXA01,M,2,6,3,2,0
FEDXA01,M,2,6,4,7,11
FEDXA01,M,2,6,5,2,3
FEDXA01,M,2,6,6,4,10
FEDXA01,M,2,6,7,6,0
FEDXA01,M,2,6,8,5,0
FEDXA01,M,2,6,9,8,6
FEDXA01,M,2,6,10,3,5
FEDXA01,M,2,6,11,10,7
FEDXA01,M,2,6,12,7,5
FEDXA01,M,2,6,13,14,13
FEDXA01,M,2,6,14,20,17
FEDXA01,M,2,6,15,25,18
FEDXA01,M,2,6,16,23,30
FEDXA01,M,2,6,17,18,19
FEDXA01,M,2,6,18,11,7
FEDXA01,M,2,6,19,9,13
FEDXA01,M,2,6,20,17,7
FEDXA01,M,2,6,21,0,7
FEDXA01,M,2,6,22,10,8
FEDXA01,M,2,6,23,13,13
FEDXA02,M,2,0,0,0,0
FEDXA02,M,2,0,1,0,0
FEDXA02,M,2,0,2,9,3
FEDXA02,M,2,0,3,2,13
FEDXA02,M,2,0,4,0,21
FEDXA02,M,2,0,5,9,13
FEDXA02,M,2,0,6,6,7
FEDXA02,M,2,0,7,0,9
FEDXA02,M,2,0,8,0,1
FEDXA02,M,2,0,9,5,3
FEDXA02,M,2,0,10,7,10
FEDXA02,M,2,0,11,4,1
FEDXA02,M,2,0,12,6,12
FEDXA02,M,2,0,13,14,16
FEDXA02,M,2,0,14,13,18
FEDXA02,M,2,0,15,9,11
FEDXA02,M,2,0,16,16,27
FEDXA02,M,2,0,17,5,8
FEDXA02,M,2,0,18,9,15
FEDXA02,M,2,0,19,13,5
FEDXA02,M,2,0,20,8,11
FEDXA02,M,2,0,21,0,9
FEDXA02,M,2,0,22,10,5
FEDXA02,M,2,0,23,9,7
FEDXA02,M,2,1,0,1,5
FEDXA02,M,2,1,1,2,6
FEDXA02,M,2,1,2,6,6
FEDXA02,M,2,1,3,4,2
FEDXA02,M,2,1,4,3,6
FEDXA02,M,2,1,5,2,6
FEDXA02,M,2,1,6,5,2
FEDXA02,M,2,1,7,5,1
FEDXA02,M,2,1,8,0,4
FEDXA02,M,2,1,9,4,0
FEDXA02,M,2,1,10,0,1
FEDXA02,M,2,1,11,2,7
FEDXA02,M,2,1,12,10,4
FEDXA02,M,2,1,13,18,9
FEDXA02,M,2,1,14,8,23
FEDXA02,M,2,1,15,10,9
FEDXA02,M,2,1,16,20,24
FEDXA02,M,2,1,17,11,16
FEDXA02,M,2,1,18,0,11
FEDXA02,M,2,1,19,19,6
FEDXA02,M,2,1,20,3,10
FEDXA02,M,2,1,21,9,1
FEDXA02,M,2,1,22,4,4
FEDXA02,M,2,1,23,7,8
FEDXA02,M,2,2,0,4,13
FEDXA02,M,2,2,1,16,4
FEDXA02,M,2,2,2,10,12
FEDXA02,M,2,2,3,7,11
FEDXA02,M,2,2,4,6,5
FEDXA02,M,2,2,5,4,6
FEDXA02,M,2,2,6,0,3
FEDXA02,M,2,2,7,9,0
FEDXA02,M,2,2,8,0,0
FEDXA02,M,2,2,9,0,4
FEDXA02,M,2,2,10,5,5
FEDXA02,M,2,2,11,6,4
FEDXA02,M,2,2,12,11,5
FEDXA02,M,2,2,13,14,19
FEDXA02,M,2,2,14,15,16
FEDXA02,M,2,2,15,13,9
FEDXA02,M,2,2,16,17,16
FEDXA02,M,2,2,17,16,12
FEDXA02,M,2,2,18,5,17
FEDXA02,M,2,2,19,11,7
FEDXA02,M,2,2,20,8,8
FEDXA02,M,2,2,21,8,11
FEDXA02,M,2,2,22,8,3
FEDXA02,M,2,2,23,11,5
FEDXA02,M,2,3,0,11,6
FEDXA02,M,2,3,1,11,0
FEDXA02,M,2,3,2,8,7
FEDXA02,M,2,3,3,6,4
FEDXA02,M,2,3,4,0,14
FEDXA02,M,2,3,5,9,8
FEDXA02,M,2,3,6,0,0
FEDXA02,M,2,3,7,10,0
FEDXA02,M,2,3,8,0,0
FEDXA02,M,2,3,9,9,1
FEDXA02,M,2,3,10,2,0
FEDXA02,M,2,3,11,10,0
FEDXA02,M,2,3,12,8,10
FEDXA02,M,2,3,13,16,15
FEDXA02,M,2,3,14,15,10
FEDXA02,M,2,3,15,12,16
FEDXA02,M,2,3,16,12,12
FEDXA02,M,2,3,17,23,17
FEDXA02,M,2,3,18,3,12
FEDXA02,M,2,3,19,10,13
FEDXA02,M,2,3,20,11,8
FEDXA02,M,2,3,21,6,0
FEDXA02,M,2,3,22,9,6
FEDXA02,M,2,3,23,10,13
FEDXA02,M,2,4,0,12,0
FEDXA02,M,2,4,1,4,9
FEDXA02,M,2,4,2,14,10
FEDXA02,M,2,4,3,15,2
FEDXA02,M,2,4,4,1,8
FEDXA02,M,2,4,5,0,4
FEDXA02,M,2,4,6,8,6
FEDXA02,M,2,4,7,0,5
FEDXA02,M,2,4,8,5,0
FEDXA02,M,2,4,9,0,0
FEDXA02,M,2,4,10,7,0
FEDXA02,M,2,4,11,5,6
FEDXA02,M,2,4,12,11,3
FEDXA02,M,2,4,13,14,16
FEDXA02,M,2,4,14,18,18
FEDXA02,M,2,4,15,14,17
FEDXA02,M,2,4,16,17,13
FEDXA02,M,2,4,17,13,13
FEDXA02,M,2,4,18,14,10
FEDXA02,M,2,4,19,0,10
FEDXA02,M,2,4,20,11,10
FEDXA02,M,2,4,21,2,6
FEDXA02,M,2,4,22,8,6
FEDXA02,M,2,4,23,10,10
FEDXA02,M,2,5,0,13,9
FEDXA02,M,2,5,1,14,0
FEDXA02,M,2,5,2,6,2
FEDXA02,M,2,5,3,9,14
FEDXA02,M,2,5,4,4,5
FEDXA02,M,2,5,5,5,9
FEDXA02,M,2,5,6,7,0
FEDXA02,M,2,5,7,0,0
FEDXA02,M,2,5,8,1,0
FEDXA02,M,2,5,9,4,2
FEDXA02,M,2,5,10,0,1
FEDXA02,M,2,5,11,5,6
FEDXA02,M,2,5,12,12,8
FEDXA02,M,2,5,13,16,12
FEDXA02,M,2,5,14,19,21
FEDXA02,M,2,5,15,23,9
FEDXA02,M,2,5,16,15,5
FEDXA02,M,2,5,17,17,20
FEDXA02,M,2,5,18,4,14
FEDXA02,M,2,5,19,17,1
FEDXA02,M,2,5,20,9,13
FEDXA02,M,2,5,21,7,15
FEDXA02,M,2,5,22,8,0
FEDXA02,M,2,5,23,11,9
FEDXA02,M,2,6,0,12,1
FEDXA02,M,2,6,1,10,14
FEDXA02,M,2,6,2,9,4
FEDXA02,M,2,6,3,0,0
FEDXA02,M,2,6,4,7,11
FEDXA02,M,2,6,5,0,7
FEDXA02,M,2,6,6,6,6
FEDXA02,M,2,6,7,1,2
FEDXA02,M,2,6,8,5,0
FEDXA02,M,2,6,9,3,7
FEDXA02,M,2,6,10,0,0
FEDXA02,M,2,6,11,10,5
FEDXA02,M,2,6,12,8,4
FEDXA02,M,2,6,13,15,19
FEDXA02,M,2,6,14,19,11
FEDXA02,M,2,6,15,15,21
FEDXA02,M,2,6,16,17,12
FEDXA02,M,2,6,17,18,11
FEDXA02,M,2,6,18,4,13
FEDXA02,M,2,6,19,10,8
FEDXA02,M,2,6,20,13,10
FEDXA02,M,2,6,21,7,0
FEDXA02,M,2,6,22,12,9
FEDXA02,M,2,6,23,13,6
FEDXA03,M,2,0,0,0,0
FEDXA03,M,2,0,1,0,0
FEDXA03,M,2,0,2,1,0
FEDXA03,M,2,0,3,2,16
FEDXA03,M,2,0,4,9,22
FEDXA03,M,2,0,5,11,21
FEDXA03,M,2,0,6,0,18
FEDXA03,M,2,0,7,6,0
FEDXA03,M,2,0,8,0,0
FEDXA03,M,2,0,9,5,7
FEDXA03,M,2,0,10,6,11
FEDXA03,M,2,0,11,3,11
FEDXA03,M,2,0,12,7,23
FEDXA03,M,2,0,13,13,34
FEDXA03,M,2,0,14,15,29
FEDXA03,M,2,0,15,9,19
FEDXA03,M,2,0,16,12,30
FEDXA03,M,2,0,17,7,24
FEDXA03,M,2,0,18,13,27
FEDXA03,M,2,0,19,4,14
FEDXA03,M,2,0,20,6,18
FEDXA03,M,2,0,21,5,0
FEDXA03,M,2,0,22,5,12
FEDXA03,M,2,0,23,8,16
FEDXA03,M,2,1,0,6,17
FEDXA03,M,2,1,1,4,4
FEDXA03,M,2,1,2,5,48
FEDXA03,M,2,1,3,0,11
FEDXA03,M,2,1,4,9,11
FEDXA03,M,2,1,5,0,0
FEDXA03,M,2,1,6,6,10
FEDXA03,M,2,1,7,4,8
FEDXA03,M,2,1,8,3,8
FEDXA03,M,2,1,9,3,0
FEDXA03,M,2,1,10,0,0
FEDXA03,M,2,1,11,8,12
FEDXA03,M,2,1,12,8,9
FEDXA03,M,2,1,13,10,32
FEDXA03,M,2,1,14,9,30
FEDXA03,M,2,1,15,13,33
FEDXA03,M,2,1,16,7,20
FEDXA03,M,2,1,17,16,33
FEDXA03,M,2,1,18,6,20
FEDXA03,M,2,1,19,10,14
FEDXA03,M,2,1,20,3,8
FEDXA03,M,2,1,21,9,5
FEDXA03,M,2,1,22,5,7
FEDXA03,M,2,1,23,5,11
FEDXA03,M,2,2,0,6,8
FEDXA03,M,2,2,1,7,11
FEDXA03,M,2,2,2,6,14
FEDXA03,M,2,2,3,6,10
FEDXA03,M,2,2,4,2,6
FEDXA03,M,2,2,5,2,10
FEDXA03,M,2,2,6,0,0
FEDXA03,M,2,2,7,3,7
FEDXA03,M,2,2,8,0,0
FEDXA03,M,2,2,9,0,0
FEDXA03,M,2,2,10,4,11
FEDXA03,M,2,2,11,4,0
FEDXA03,M,2,2,12,7,14
FEDXA03,M,2,2,13,11,21
FEDXA03,M,2,2,14,13,33
FEDXA03,M,2,2,15,11,25
FEDXA03,M,2,2,16,16,26
FEDXA03,M,2,2,17,24,23
FEDXA03,M,2,2,18,22,17
FEDXA03,M,2,2,19,0,12
FEDXA03,M,2,2,20,9,5
FEDXA03,M,2,2,21,5,6
FEDXA03,M,2,2,22,6,0
FEDXA03,M,2,2,23,7,20
FEDXA03,M,2,3,0,15,13
FEDXA03,M,2,3,1,3,9
FEDXA03,M,2,3,2,10,7
FEDXA03,M,2,3,3,8,8
FEDXA03,M,2,3,4,5,17
FEDXA03,M,2,3,5,9,10
FEDXA03,M,2,3,6,0,7
FEDXA03,M,2,3,7,4,6
FEDXA03,M,2,3,8,4,9
FEDXA03,M,2,3,9,0,0
FEDXA03,M,2,3,10,9,4
FEDXA03,M,2,3,11,2,7
FEDXA03,M,2,3,12,10,7
FEDXA03,M,2,3,13,23,19
FEDXA03,M,2,3,14,18,27
FEDXA03,M,2,3,15,26,21
FEDXA03,M,2,3,16,18,27
FEDXA03,M,2,3,17,15,19
FEDXA03,M,2,3,18,24,23
FEDXA03,M,2,3,19,5,17
FEDXA03,M,2,3,20,5,7
FEDXA03,M,2,3,21,18,10
FEDXA03,M,2,3,22,0,9
FEDXA03,M,2,3,23,16,5
FEDXA03,M,2,4,0,20,0
FEDXA03,M,2,4,1,8,18
FEDXA03,M,2,4,2,17,11
FEDXA03,M,2,4,3,1,12
FEDXA03,M,2,4,4,17,7
FEDXA03,M,2,4,5,0,14
FEDXA03,M,2,4,6,11,0
FEDXA03,M,2,4,7,0,5
FEDXA03,M,2,4,8,1,0
FEDXA03,M,2,4,9,4,5
FEDXA03,M,2,4,10,11,0
FEDXA03,M,2,4,11,11,0
FEDXA03,M,2,4,12,10,13
FEDXA03,M,2,4,13,22,15
FEDXA03,M,2,4,14,24,23
FEDXA03,M,2,4,15,35,30
FEDXA03,M,2,4,16,24,16
FEDXA03,M,2,4,17,25,21
FEDXA03,M,2,4,18,8,18
FEDXA03,M,2,4,19,16,9
FEDXA03,M,2,4,20,7,9
FEDXA03,M,2,4,21,0,7
FEDXA03,M,2,4,22,14,6
FEDXA03,M,2,4,23,7,12
FEDXA03,M,2,5,0,16,8
FEDXA03,M,2,5,1,12,8
FEDXA03,M,2,5,2,14,6
FEDXA03,M,2,5,3,4,9
FEDXA03,M,2,5,4,12,9
FEDXA03,M,2,5,5,0,5
FEDXA03,M,2,5,6,6,0
FEDXA03,M,2,5,7,0,7
FEDXA03,M,2,5,8,0,7
FEDXA03,M,2,5,9,6,1
FEDXA03,M,2,5,10,9,0
FEDXA03,M,2,5,11,7,10
FEDXA03,M,2,5,12,14,4
FEDXA03,M,2,5,13,17,14
FEDXA03,M,2,5,14,26,24
FEDXA03,M,2,5,15,28,19
FEDXA03,M,2,5,16,19,17
FEDXA03,M,2,5,17,19,26
FEDXA03,M,2,5,18,23,6
FEDXA03,M,2,5,19,3,20
FEDXA03,M,2,5,20,18,0
FEDXA03,M,2,5,21,10,16
FEDXA03,M,2,5,22,6,0
FEDXA03,M,2,5,23,11,6
FEDXA03,M,2,6,0,10,14
FEDXA03,M,2,6,1,17,13
FEDXA03,M,2,6,2,10,8
FEDXA03,M,2,6,3,11,3
FEDXA03,M,2,6,4,7,11
FEDXA03,M,2,6,5,6,5
FEDXA03,M,2,6,6,0,0
FEDXA03,M,2,6,7,12,7
FEDXA03,M,2,6,8,4,0
FEDXA03,M,2,6,9,3,4
FEDXA03,M,2,6,10,7,4
FEDXA03,M,2,6,11,1,6
FEDXA03,M,2,6,12,15,11
FEDXA03,M,2,6,13,25,18
FEDXA03,M,2,6,14,34,20
FEDXA03,M,2,6,15,23,19
FEDXA03,M,2,6,16,26,17
FEDXA03,M,2,6,17,28,18
FEDXA03,M,2,6,18,20,13
FEDXA03,M,2,6,19,17,18
FEDXA03,M,2,6,20,16,6
FEDXA03,M,2,6,21,9,8
FEDXA03,M,2,6,22,1,0
FEDXA03,M,2,6,23,16,5
FEDXA04,M,2,0,0,0,0
FEDXA04,M,2,0,1,0,0
FEDXA04,M,2,0,2,2,0
FEDXA04,M,2,0,3,4,30
FEDXA04,M,2,0,4,0,8
FEDXA04,M,2,0,5,12,26
FEDXA04,M,2,0,6,0,0
FEDXA04,M,2,0,7,0,7
FEDXA04,M,2,0,8,9,11
FEDXA04,M,2,0,9,0,0
FEDXA04,M,2,0,10,10,10
FEDXA04,M,2,0,11,10,12
FEDXA04,M,2,0,12,7,20
FEDXA04,M,2,0,13,12,12
FEDXA04,M,2,0,14,12,27
FEDXA04,M,2,0,15,13,32
FEDXA04,M,2,0,16,12,27
FEDXA04,M,2,0,17,19,13
FEDXA04,M,2,0,18,8,0
FEDXA04,M,2,0,19,11,23
FEDXA04,M,2,0,20,0,2
FEDXA04,M,2,0,21,7,8
FEDXA04,M,2,0,22,7,10
FEDXA04,M,2,0,23,9,15
FEDXA04,M,2,1,0,4,8
FEDXA04,M,2,1,1,0,0
FEDXA04,M,2,1,2,8,6
FEDXA04,M,2,1,3,0,7
FEDXA04,M,2,1,4,8,15
FEDXA04,M,2,1,5,0,0
FEDXA04,M,2,1,6,0,0
FEDXA04,M,2,1,7,3,7
FEDXA04,M,2,1,8,0,5
FEDXA04,M,2,1,9,8,0
FEDXA04,M,2,1,10,0,3
FEDXA04,M,2,1,11,7,8
FEDXA04,M,2,1,12,6,16
FEDXA04,M,2,1,13,8,18
FEDXA04,M,2,1,14,9,25
FEDXA04,M,2,1,15,14,31
FEDXA04,M,2,1,16,8,33
FEDXA04,M,2,1,17,11,27
FEDXA04,M,2,1,18,18,3
FEDXA04,M,2,1,19,1,7
FEDXA04,M,2,1,20,6,6
FEDXA04,M,2,1,21,9,8
FEDXA04,M,2,1,22,0,16
FEDXA04,M,2,1,23,16,18
FEDXA04,M,2,2,0,6,1
FEDXA04,M,2,2,1,0,4
FEDXA04,M,2,2,2,0,15
FEDXA04,M,2,2,3,13,10
FEDXA04,M,2,2,4,0,0
FEDXA04,M,2,2,5,4,7
FEDXA04,M,2,2,6,6,0
FEDXA04,M,2,2,7,0,8
FEDXA04,M,2,2,8,8,0
FEDXA04,M,2,2,9,0,7
FEDXA04,M,2,2,10,0,0
FEDXA04,M,2,2,11,4,7
FEDXA04,M,2,2,12,12,16
FEDXA04,M,2,2,13,11,19
FEDXA04,M,2,2,14,16,25
FEDXA04,M,2,2,15,13,19
FEDXA04,M,2,2,16,14,21
FEDXA04,M,2,2,17,11,30
FEDXA04,M,2,2,18,17,3
FEDXA04,M,2,2,19,11,16
FEDXA04,M,2,2,20,0,0
FEDXA04,M,2,2,21,8,9
FEDXA04,M,2,2,22,8,6
FEDXA04,M,2,2,23,6,17
FEDXA04,M,2,3,0,4,0
FEDXA04,M,2,3,1,3,0
FEDXA04,M,2,3,2,0,12
FEDXA04,M,2,3,3,10,7
FEDXA04,M,2,3,4,0,8
FEDXA04,M,2,3,5,7,0
FEDXA04,M,2,3,6,0,0
FEDXA04,M,2,3,7,6,6
FEDXA04,M,2,3,8,0,0
FEDXA04,M,2,3,9,7,6
FEDXA04,M,2,3,10,8,0
FEDXA04,M,2,3,11,4,7
FEDXA04,M,2,3,12,11,5
FEDXA04,M,2,3,13,12,23
FEDXA04,M,2,3,14,12,28
FEDXA04,M,2,3,15,20,20
FEDXA04,M,2,3,16,20,24
FEDXA04,M,2,3,17,14,9
FEDXA04,M,2,3,18,11,29
FEDXA04,M,2,3,19,11,6
FEDXA04,M,2,3,20,0,0
FEDXA04,M,2,3,21,9,0
FEDXA04,M,2,3,22,6,0
FEDXA04,M,2,3,23,1,20
FEDXA04,M,2,4,0,12,0
FEDXA04,M,2,4,1,7,6
FEDXA04,M,2,4,2,8,12
FEDXA04,M,2,4,3,5,7
FEDXA04,M,2,4,4,6,0
FEDXA04,M,2,4,5,7,9
FEDXA04,M,2,4,6,0,4
FEDXA04,M,2,4,7,11,5
FEDXA04,M,2,4,8,0,1
FEDXA04,M,2,4,9,13,0
FEDXA04,M,2,4,10,4,8
FEDXA04,M,2,4,11,4,7
FEDXA04,M,2,4,12,10,8
FEDXA04,M,2,4,13,10,17
FEDXA04,M,2,4,14,17,29
FEDXA04,M,2,4,15,22,22
FEDXA04,M,2,4,16,19,22
FEDXA04,M,2,4,17,24,8
FEDXA04,M,2,4,18,22,27
FEDXA04,M,2,4,19,22,8
FEDXA04,M,2,4,20,5,4
FEDXA04,M,2,4,21,0,13
FEDXA04,M,2,4,22,11,9
FEDXA04,M,2,4,23,13,13
FEDXA04,M,2,5,0,11,18
FEDXA04,M,2,5,1,25,0
FEDXA04,M,2,5,2,1,8
FEDXA04,M,2,5,3,0,13
FEDXA04,M,2,5,4,7,5
FEDXA04,M,2,5,5,5,4
FEDXA04,M,2,5,6,8,0
FEDXA04,M,2,5,7,3,4
FEDXA04,M,2,5,8,0,6
FEDXA04,M,2,5,9,14,10
FEDXA04,M,2,5,10,1,0
FEDXA04,M,2,5,11,8,8
FEDXA04,M,2,5,12,18,12
FEDXA04,M,2,5,13,23,17
FEDXA04,M,2,5,14,24,22
FEDXA04,M,2,5,15,23,30
