"","component","diet_phase","sex","order","mean_value","sd_value","n"
"1","meal_frequency","grain","F",1,1.06566764674961,0.5222081856867,5
"2","meal_frequency","grain","F",2,1.22358084176956,0.378556980174953,6
"3","meal_frequency","grain","M",1,1.08612738568732,0.314058822870797,6
"4","meal_frequency","grain","M",2,1.37557050500082,0.448389381828804,6
"5","meal_frequency","nr","F",1,1.16961634841749,0.671360055511481,5
"6","meal_frequency","nr","F",2,1.41037421842443,0.412870572215995,6
"7","meal_frequency","nr","M",1,1.07122810313658,0.137776497014888,6
"8","meal_frequency","nr","M",2,0.868395398801317,0.370440850541554,6
"9","meal_frequency","pr","F",1,1.52177588237179,0.741887782833574,5
"10","meal_frequency","pr","F",2,1.86528193713763,0.227963744514667,6
"11","meal_frequency","pr","M",1,1.33329788551759,0.378409949483973,6
"12","meal_frequency","pr","M",2,1.77440424175498,0.435851406418864,6
"13","meal_size","grain","F",1,2.93342376539337,0.0345830673731075,5
"14","meal_size","grain","F",2,2.9235385707449,0.157918468953402,6
"15","meal_size","grain","M",1,2.87086152289024,0.0907528006617108,6
"16","meal_size","grain","M",2,2.86242978472673,0.0999042601497663,6
"17","meal_size","nr","F",1,2.91776673742746,0.311319426699447,5
"18","meal_size","nr","F",2,3.01878943434473,0.0681918445647366,6
"19","meal_size","nr","M",1,3.04386275515893,0.16224861200422,6
"20","meal_size","nr","M",2,3.12536985882304,0.135994730920666,6
"21","meal_size","pr","F",1,2.86525136524233,0.334074304063766,5
"22","meal_size","pr","F",2,2.71996125492725,0.0795863523364635,6
"23","meal_size","pr","M",1,2.92425359719083,0.149575350760203,6
"24","meal_size","pr","M",2,2.75236310754357,0.12707992986815,6
"25","mega_meal_frequency","grain","F",1,0.921020660041868,0.175669333031467,5
"26","mega_meal_frequency","grain","F",2,0.85236128206956,0.241825232656708,6
"27","mega_meal_frequency","grain","M",1,0.976804307472686,0.164398413119748,6
"28","mega_meal_frequency","grain","M",2,0.80250642295462,0.132564217081359,6
"29","mega_meal_frequency","nr","F",1,0.610506887593911,0.294309039280443,5
"30","mega_meal_frequency","nr","F",2,0.646690848454985,0.232102123330498,6
"31","mega_meal_frequency","nr","M",1,0.670615063478792,0.0847027654892069,6
"32","mega_meal_frequency","nr","M",2,0.955190511220174,0.253771996625685,6
"33","mega_meal_frequency","pr","F",1,0.542389556570674,0.288379600064695,5
"34","mega_meal_frequency","pr","F",2,0.317449417246242,0.0769138002196433,6
"35","mega_meal_frequency","pr","M",1,0.540297965710174,0.0780810675468616,6
"36","mega_meal_frequency","pr","M",2,0.439350282386328,0.151869079997722,6
"37","mega_meal_size","grain","F",1,7.26964989837743,0.843829767505004,5
"38","mega_meal_size","grain","F",2,6.70432794250399,0.584653993368668,6
"39","mega_meal_size","grain","M",1,7.11992122819709,0.610903563635738,6
"40","mega_meal_size","grain","M",2,7.44024626568905,0.94379401237172,6
"41","mega_meal_size","nr","F",1,6.62639509915372,0.497533958588454,5
"42","mega_meal_size","nr","F",2,6.08444613286277,0.502633102578294,6
"43","mega_meal_size","nr","M",1,6.41312882473131,0.430622577395735,6
"44","mega_meal_size","nr","M",2,6.77120472988873,0.479109305602455,6
"45","mega_meal_size","pr","F",1,6.15687486240812,0.692643344495628,5
"46","mega_meal_size","pr","F",2,5.9207508837816,0.190853847321795,6
"47","mega_meal_size","pr","M",1,6.57199926315885,0.318843045267876,6
"48","mega_meal_size","pr","M",2,6.11409079365465,0.241087265054543,6
"49","number_of_meals","grain","F",1,74.2,39.5689272030466,5
"50","number_of_meals","grain","F",2,80.6666666666667,19.7855165883195,6
"51","number_of_meals","grain","M",1,74.8333333333333,23.6509337377336,6
"52","number_of_meals","grain","M",2,91.1666666666667,32.5908985249972,6
"53","number_of_meals","nr","F",1,197,113.068563270257,5
"54","number_of_meals","nr","F",2,235,68.5448758113982,6
"55","number_of_meals","nr","M",1,180,23.3323809329438,6
"56","number_of_meals","nr","M",2,144.5,61.6433289172478,6
"57","number_of_meals","pr","F",1,253.4,124.375640701867,5
"58","number_of_meals","pr","F",2,311.166666666667,39.6303755554583,6
"59","number_of_meals","pr","M",1,221.666666666667,62.8670554954395,6
"60","number_of_meals","pr","M",2,298,72.9081614087202,6
"61","number_of_snacks","grain","F",1,38.8,21.5800834104041,5
"62","number_of_snacks","grain","F",2,42.6666666666667,16.7172565532346,6
"63","number_of_snacks","grain","M",1,47,12.9769025580067,6
"64","number_of_snacks","grain","M",2,60.8333333333333,24.2273949624525,6
"65","number_of_snacks","nr","F",1,125.4,121.902830155825,5
"66","number_of_snacks","nr","F",2,86.1666666666667,27.9314637401384,6
"67","number_of_snacks","nr","M",1,94.6666666666667,47.7981868554307,6
"68","number_of_snacks","nr","M",2,91.6666666666667,13.9666268893626,6
"69","number_of_snacks","pr","F",1,154,119.178437647084,5
"70","number_of_snacks","pr","F",2,220.333333333333,39.2818872594822,6
"71","number_of_snacks","pr","M",1,123.333333333333,68.3364226943924,6
"72","number_of_snacks","pr","M",2,220.166666666667,51.8976556952881,6
"73","snack_frequency","grain","F",1,0.562363084816751,0.283589210338151,5
"74","snack_frequency","grain","F",2,0.644908833712362,0.266549812851731,6
"75","snack_frequency","grain","M",1,0.677493273562754,0.15924826549463,6
"76","snack_frequency","grain","M",2,0.911299025238445,0.318164012982393,6
"77","snack_frequency","nr","F",1,0.744855874723527,0.725248131358721,5
"78","snack_frequency","nr","F",2,0.516954390174043,0.167469157164653,6
"79","snack_frequency","nr","M",1,0.563033103851469,0.283153063303468,6
"80","snack_frequency","nr","M",2,0.550817327507537,0.0840750624975462,6
"81","snack_frequency","pr","F",1,0.924509685305902,0.7145644278143,5
"82","snack_frequency","pr","F",2,1.32374865080897,0.252236202573328,6
"83","snack_frequency","pr","M",1,0.741927636689476,0.411497608646346,6
"84","snack_frequency","pr","M",2,1.31030439883836,0.307517825176823,6
"85","snack_size","grain","F",1,1,0,5
"86","snack_size","grain","F",2,1,0,6
"87","snack_size","grain","M",1,1,0,6
"88","snack_size","grain","M",2,1,0,6
"89","snack_size","nr","F",1,1,0,5
"90","snack_size","nr","F",2,1,0,6
"91","snack_size","nr","M",1,1,0,6
"92","snack_size","nr","M",2,1,0,6
"93","snack_size","pr","F",1,1,0,5
"94","snack_size","pr","F",2,1,0,6
"95","snack_size","pr","M",1,1,0,6
"96","snack_size","pr","M",2,1,0,6
