Mouse ID,Order,Sex,Day,NR Protein Intake (g),PR Protein Intake (g)
FEDXA01,2.0,M,1,0.8855999999999999,0.161
FEDXA01,2.0,M,2,0.8423999999999999,0.155
FEDXA01,2.0,M,3,0.7992,0.176
FEDXA01,2.0,M,4,0.7595999999999999,0.184
FEDXA01,2.0,M,5,0.8675999999999999,0.215
FEDXA01,2.0,M,6,0.8028,0.231
FEDXA01,2.0,M,7,0.7884,0.24
FEDXA02,2.0,M,1,0.8099999999999999,0.154
FEDXA02,2.0,M,2,0.6156,0.153
FEDXA02,2.0,M,3,0.702,0.20400000000000001
FEDXA02,2.0,M,4,0.6192,0.211
FEDXA02,2.0,M,5,0.6552,0.203
FEDXA02,2.0,M,6,0.63,0.226
FEDXA02,2.0,M,7,0.6516,0.214
FEDXA03,2.0,M,1,1.2671999999999999,0.147
FEDXA03,2.0,M,2,1.2636,0.149
FEDXA03,2.0,M,3,1.0044,0.171
FEDXA03,2.0,M,4,1.0368,0.247
FEDXA03,2.0,M,5,0.9036,0.293
FEDXA03,2.0,M,6,0.7992,0.28
FEDXA03,2.0,M,7,0.8208,0.318
FEDXA04,2.0,M,1,1.0548,0.164
FEDXA04,2.0,M,2,0.9611999999999999,0.14400000000000002
FEDXA04,2.0,M,3,0.864,0.168
FEDXA04,2.0,M,4,0.756,0.176
FEDXA04,2.0,M,5,0.8603999999999999,0.252
FEDXA04,2.0,M,6,0.8603999999999999,0.272
FEDXA04,2.0,M,7,0.774,0.305
FEDXA05,2.0,M,1,0.9611999999999999,0.154
FEDXA05,2.0,M,2,0.9324,0.167
FEDXA05,2.0,M,3,0.9144,0.20400000000000001
FEDXA05,2.0,M,4,0.9611999999999999,0.22
FEDXA05,2.0,M,5,0.8568,0.253
FEDXA05,2.0,M,6,0.8603999999999999,0.249
FEDXA05,2.0,M,7,0.7884,0.279
FEDXA06,2.0,M,1,0.8208,0.215
FEDXA06,2.0,M,2,0.7595999999999999,0.18
FEDXA06,2.0,M,3,0.6624,0.199
FEDXA06,2.0,M,4,0.7343999999999999,0.202
FEDXA06,2.0,M,5,0.6948,0.224
FEDXA06,2.0,M,6,0.6372,0.215
FEDXA06,2.0,M,7,0.6732,0.24
FEDXA07,1.0,M,1,0.6372,0.14200000000000002
FEDXA07,1.0,M,2,0.6804,0.167
FEDXA07,1.0,M,3,0.6516,0.168
FEDXA07,1.0,M,4,0.594,0.188
FEDXA07,1.0,M,5,0.6552,0.198
FEDXA07,1.0,M,6,0.738,0.201
FEDXA07,1.0,M,7,0.6804,0.196
FEDXA08,1.0,M,1,0.6048,0.133
FEDXA08,1.0,M,2,0.7488,0.149
FEDXA08,1.0,M,3,0.7488,0.151
FEDXA08,1.0,M,4,0.612,0.15
FEDXA08,1.0,M,5,0.5831999999999999,0.17400000000000002
FEDXA08,1.0,M,6,0.6552,0.145
FEDXA08,1.0,M,7,0.6552,0.165
FEDXA09,1.0,M,1,0.5868,0.151
FEDXA09,1.0,M,2,0.6012,0.188
FEDXA09,1.0,M,3,0.6408,0.201
FEDXA09,1.0,M,4,0.6912,0.211
FEDXA09,1.0,M,5,0.7091999999999999,0.242
FEDXA09,1.0,M,6,0.6948,0.255
FEDXA09,1.0,M,7,0.7595999999999999,0.176
FEDXA10,1.0,M,1,0.6156,0.153
FEDXA10,1.0,M,2,0.72,0.16
FEDXA10,1.0,M,3,0.7704,0.193
FEDXA10,1.0,M,4,0.738,0.187
FEDXA10,1.0,M,5,0.7488,0.192
FEDXA10,1.0,M,6,0.7452,0.189
FEDXA10,1.0,M,7,0.6732,0.2
FEDXA11,1.0,M,1,0.7343999999999999,0.149
FEDXA11,1.0,M,2,0.5904,0.084
FEDXA11,1.0,M,3,0.7091999999999999,0.211
FEDXA11,1.0,M,4,0.7488,0.234
FEDXA11,1.0,M,5,0.702,0.225
FEDXA11,1.0,M,6,0.6587999999999999,0.251
FEDXA11,1.0,M,7,0.6768,0.231
FEDXA12,1.0,M,1,0.7091999999999999,0.169
FEDXA12,1.0,M,2,0.7128,0.23900000000000002
FEDXA12,1.0,M,3,0.6876,0.257
FEDXA12,1.0,M,4,0.6768,0.261
FEDXA12,1.0,M,5,0.6912,0.244
FEDXA12,1.0,M,6,0.774,0.217
FEDXA12,1.0,M,7,0.7812,0.233
FEDXB01,2.0,F,1,0.882,0.098
FEDXB01,2.0,F,2,0.7704,0.154
FEDXB01,2.0,F,3,0.6048,0.219
FEDXB01,2.0,F,4,0.5688,0.232
FEDXB01,2.0,F,5,0.5327999999999999,0.244
FEDXB01,2.0,F,6,0.774,0.255
FEDXB01,2.0,F,7,0.7956,0.185
FEDXB02,2.0,F,1,0.6624,0.213
FEDXB02,2.0,F,2,0.7163999999999999,0.232
FEDXB02,2.0,F,3,0.5508,0.272
FEDXB02,2.0,F,4,0.5327999999999999,0.15
FEDXB02,2.0,F,5,0.4248,0.185
FEDXB02,2.0,F,6,0.6912,0.192
FEDXB02,2.0,F,7,0.7128,0.167
FEDXB03,2.0,F,1,0.864,0.131
FEDXB03,2.0,F,2,0.8603999999999999,0.145
FEDXB03,2.0,F,3,0.8351999999999999,0.22
FEDXB03,2.0,F,4,0.6768,0.22
FEDXB03,2.0,F,5,0.6552,0.254
FEDXB03,2.0,F,6,0.6048,0.28400000000000003
FEDXB03,2.0,F,7,0.6228,0.20700000000000002
FEDXB04,2.0,F,1,0.8388,0.097
FEDXB04,2.0,F,2,0.882,0.156
FEDXB04,2.0,F,3,0.7415999999999999,0.2
FEDXB04,2.0,F,4,0.6839999999999999,0.197
FEDXB04,2.0,F,5,0.5904,0.191
FEDXB04,2.0,F,6,0.7163999999999999,0.20600000000000002
FEDXB04,2.0,F,7,0.6408,0.216
FEDXB05,2.0,F,1,0.8532,0.155
FEDXB05,2.0,F,2,0.7847999999999999,0.158
FEDXB05,2.0,F,3,0.756,0.203
FEDXB05,2.0,F,4,0.6732,0.203
FEDXB05,2.0,F,5,0.5688,0.203
FEDXB05,2.0,F,6,0.7488,0.25
FEDXB05,2.0,F,7,0.8028,0.222
FEDXB06,2.0,F,1,0.49679999999999996,0.134
FEDXB06,2.0,F,2,1.1268,0.138
FEDXB06,2.0,F,3,0.8532,0.212
FEDXB06,2.0,F,4,0.8603999999999999,0.20800000000000002
FEDXB06,2.0,F,5,0.882,0.216
FEDXB06,2.0,F,6,1.206,0.203
FEDXB06,2.0,F,7,1.0979999999999999,0.168
FEDXB07,1.0,F,1,0.7452,0.147
FEDXB07,1.0,F,2,0.6839999999999999,0.219
FEDXB07,1.0,F,3,0.7776,0.265
FEDXB07,1.0,F,4,0.7056,0.255
FEDXB07,1.0,F,5,0.8064,0.28800000000000003
FEDXB07,1.0,F,6,0.756,0.28500000000000003
FEDXB07,1.0,F,7,0.6839999999999999,0.291
FEDXB08,1.0,F,1,0.6408,0.149
FEDXB08,1.0,F,2,0.6587999999999999,0.21
FEDXB08,1.0,F,3,0.6912,0.176
FEDXB08,1.0,F,4,0.6228,0.17500000000000002
FEDXB08,1.0,F,5,0.6192,0.182
FEDXB08,1.0,F,6,0.7595999999999999,0.219
FEDXB08,1.0,F,7,0.6516,0.188
FEDXB10,1.0,F,1,0.5904,0.212
FEDXB10,1.0,F,2,0.6372,0.27
FEDXB10,1.0,F,3,0.8136,0.241
FEDXB10,1.0,F,4,0.7632,0.192
FEDXB10,1.0,F,5,0.846,0.17200000000000001
FEDXB10,1.0,F,6,0.846,0.221
FEDXB10,1.0,F,7,0.8099999999999999,0.242
FEDXB11,1.0,F,1,0.576,0.14300000000000002
FEDXB11,1.0,F,2,0.594,0.187
FEDXB11,1.0,F,3,0.6408,0.129
FEDXB11,1.0,F,4,0.666,0.137
FEDXB11,1.0,F,5,0.7236,0.14
FEDXB11,1.0,F,6,0.6839999999999999,0.177
FEDXB11,1.0,F,7,0.6156,0.183
FEDXB12,1.0,F,1,0.6156,0.153
FEDXB12,1.0,F,2,0.6948,0.194
FEDXB12,1.0,F,3,0.6552,0.177
FEDXB12,1.0,F,4,0.6624,0.176
FEDXB12,1.0,F,5,0.7919999999999999,0.184
FEDXB12,1.0,F,6,0.6804,0.224
FEDXB12,1.0,F,7,0.6264,0.201
